ὁ,the
λύκος,"a wolf, jackal"
πυρόομαι,"I burn, am purified by fire"
πρόσκομμα,a stumbling-block
βουλεύομαι,"I deliberate, take counsel"
ἐξηγέομαι,"I explain, make declaration"
διαφθείρω,"I destroy, waste, corrupt"
ἐργασία,"working, activity, trade, performance"
ἐπιφάνεια,"appearing, manifestation"
στρώννυμι,"I spread, make a bed"
καταλλάσσω,I reconcile
νήφω,"I am calm, vigilant, sober"
Λαοδίκεια,Laodicea
ἀποθήκη,"a repository, granary, barn, storehouse"
σπυρίς,a plaited basket
ἱματισμός,"raiment, clothing"
ἀκριβῶς,"carefully, exactly, strictly"
πλάνος,"misleading, a deceiver"
γένεσις,"birth, lineage"
ἀσύνετος,"unintelligent, unwise, undiscerning"
καταπατέω,I trample under foot
ἐμβριμάομαι,"I snort, express indignant displeasure"
ψάλλω,I sing psalms
φωτεινός,"bright, luminous, full of light"
σκληρός,"hard, violent, harsh, stern"
ἐπέχω,"I hold forth, pay attention, note, delay"
ἀντιτάσσομαι,"I set myself against, resist"
εὐσχήμων,"comely, honorable"
ἐπίσκοπος,"overseer, supervisor, ruler"
ὑβρίζω,I insult
Αἰγύπτιος,Egyptian
φόρος,"a tax, tribute"
παραγγελία,"a command, charge"
διαπορεύομαι,I journey through
ὀθόνιον,a linen bandage
ὁδηγέω,"I lead, guide"
ἐπιγράφω,"I write upon, inscribe"
ἐρημόομαι,"I destroy, strip, rob"
ἐκλύομαι,"I am unstrung, become weak, fail"
θαρσέω,be of good cheer
ὁδηγός,"a leader, guide"
Τυχικός,Tychicus
μῦθος,"an idle tale, fable"
Ἀρίσταρχος,Aristarchus
προοράω,I foresee
υἱοθεσία,adoption
βραχύς,"short, little"
μήγε,not
λούω,"I wash, bathe"
ἐπισκιάζω,"I overshadow, envelop"
στῆθος,the breast
μοιχάομαι,I commit adultery
εὖ,"well, well done"
πέτομαι,I fly
σκορπίζω,I disperse
πλοιάριον,a little boat
ψευδομαρτυρέω,I testify falsely
κράσπεδον,"the fringe, edge"
ἀνακράζω,I shout aloud
Φαραώ,Pharaoh
βύσσινος,"of fine linen, cotton"
εἰσακούω,"I hear, listen to"
ἄμεμπτος,blameless
Μαθθαῖος,Matthew
ἀκαταστασία,"disturbance, upheaval, revolution"
ἐπιγραφή,"an inscription, title"
ἀγαλλίασις,"exultation, exhilaration"
σκηνόω,"I dwell as in a tent, encamp"
δόγμα,"a decree, edict, ordinance"
πένθος,"mourning, sorrow"
ἡσυχάζω,"I rest, am silent, live quietly"
χρίω,I anoint
περιαιρέω,"I strip off, cast off"
ἐντυγχάνω,"I meet, encounter, call upon, make a petition"
πτέρυξ,a wing
ἀπέναντι,"over against, opposite, in view of, in the presence of"
μαίνομαι,I am raving mad
ἐπιχορηγέω,"I supply, provide"
Ἰάσων,Jason
συμπνίγω,"I choke utterly, crowd upon"
μωρία,"folly, absurdity"
ἀόρατος,"unseen, invisible"
Ἀαρών,Aaron
θεμελιόω,"I found, lay the foundation"
παίω,"I strike, smite"
ἐφάπαξ,"once, once for all"
δή,"so, then, indeed, truly"
περιποίησις,"obtaining, possessing, possession"
τρόμος,a trembling
Ἁλφαῖος,Alphaeus
εὐπρόσδεκτος,"well-received, acceptable"
ὑπερέχω,"I excel, surpass"
ἐξαίφνης,"suddenly, unexpectedly"
κατακλίνω,"I recline, cause to recline"
Μακεδών,a Macedonian
ἀρετή,"virtue, moral excellence, perfection"
ἀνάπαυσις,"rest, cessation from labor, refreshment"
Κρήτη,Crete
πανουργία,"cunning, craftiness"
βασιλικός,"connected with a king, royal, regal"
δαπανάω,"I spend, bear expense, waste"
κολαφίζω,"I strike with the fist, maltreat"
ἀσφαλής,"safe, reliable, trustworthy"
ὄγδοος,eighth
ζήτημα,"a question, dispute"
θηλάζω,"I give suck, suck"
σίναπι,mustard
Θεσσαλονίκη,Thessalonica
παραπορεύομαι,I go past
σκορπίος,a scorpion
ἄμμος,sand
ἀφανίζω,"I cause to disappear, I hide, remove, disfigure"
διαμένω,"I remain, continue"
μετασχηματίζω,"I change the outward appearance, transfigure, adapt"
ταχύς,"quick, swift"
ἀνθύπατος,a proconsul
κῆπος,a garden
ἐπιεικής,"gentle, mild, forbearing, fair, reasonable"
ἑξῆς,"next in order, the next day"
οἰκτιρμός,"pity, compassion"
ἄρρωστος,"infirm, sick, ill"
παράκλητος,"an advocate, comforter, helper, Paraclete"
ὀνειδισμός,"reproach, reviling"
πταίω,"I stumble, fall, sin"
ἀνεκτός,"endurable, tolerable"
μεθίστημι,"I move out of its place, transfer"
δουλεία,"slavery, bondage"
εἴσοδος,"entering, entrance, entry"
προθυμία,"inclination, readiness"
διαρρήγνυμι,"I tear, break"
ὀψάριον,a little fish
πρόκειμαι,I am set before
ὄνος,"a donkey, an ass"
βέβηλος,"profane, secular, unspiritual, godless, worldly"
θῆλυς,female
σείω,I shake
προγινώσκω,I know beforehand
συνεργέω,I work together
ἐναντίον,"before, in the presence of, in the eyes of"
πρωτοκλισία,the chief place at a banquet
καταδικάζω,I condemn
ὑετός,rain
κύων,a dog
γάλα,milk
συσταυρόομαι,I crucify together with
ἀναπέμπω,"I send up to a higher tribunal, I send back"
καταράομαι,I curse
προβαίνω,I go forward
πλεονεκτέω,I take advantage of
αἰσχύνομαι,"I am ashamed, am put to shame"
σιδηροῦς,made of iron
ἐμπίμπλημι,"I fill up, satisfy"
ἐκδύω,"I put off, take off, strip off"
παραλύομαι,"I relax, enfeeble"
ἅρπαξ,"rapacious, ravenous, a robber, an extortioner"
ἐκτρέπομαι,"I turn aside, wander, forsake"
ἔχιδνα,"a serpent, snake, viper"
καίπερ,although
Ἐφέσιος,Ephesian
ἐγκόπτω,"I interrupt, hinder"
νηστεία,"fasting, the day of atonement"
σωτήριος,"saving, bringing salvation, salvation"
ἀντίδικος,"an opponent, adversary"
ἐκμάσσω,"I wipe, wipe off thoroughly"
καταλαλέω,I speak evil of
ἀντίχριστος,antichrist
μεταδίδωμι,"I share, impart"
Ἰεσσαί,Jesse
εἶδος,"visible form, shape, appearance, kind"
ἔμφοβος,"full of fear, terrified"
συνεσθίω,I eat with
ἐνοικέω,"I dwell in, am settled in"
ὀλιγόπιστος,of little faith
μερίς,"a part, portion"
προορίζω,"I foreordain, predetermine"
ἔμπορος,"a merchant, trader"
ἐλαύνω,"I drive on, propel, row"
πωρόω,"I harden, render callous"
ληνός,a winepress
καθεξῆς,"in order, just after"
ὑπόστασις,"assurance, substance, reality"
περίκειμαι,"I surround, am surrounded with"
δυσμή,"a setting of the sun, the West"
Ἄρτεμις,the Persian or Ephesian Artemis
ἁλιεύς,a fisherman
στάχυς,a head of grain
ὑπερήφανος,"proud, arrogant"
ἔπειμι,the next day
δεκτός,"acceptable, accepted"
ἁμάρτημα,"a fault, sin, evil deed"
ποίμνη,a flock
τετρακισχίλιοι,four thousand
ἐννέα,nine
ἀετός,"an eagle, bird of prey"
πλευρά,the side of the body
σύρω,"I draw, drag"
χρονίζω,"I delay, tarry"
φύραμα,a mass or lump
γαζοφυλάκιον,a treasury
λειτουργός,"a minister, servant"
θώραξ,a breast-plate
Γάϊος,Gaius
ἰδιώτης,"an amateur, layman"
ᾄδω,I sing
οὐρά,a tail
ὑπερβάλλω,I surpass
μαρτύρομαι,"I call to witness, testify, solemnly charge"
παροιμία,"an allegory, proverb"
δικαίως,"justly, righteously"
χαλκός,"copper, brass, money"
ἀποστερέω,"I deprive one of something, rob"
ποίμνιον,a little flock
παγίς,"a snare, trap"
κενόω,"I empty, deprive of content, make unreal"
ζόφος,"darkness, murkiness"
ἀποσπάω,"I wrench away from, drag away, withdraw"
πατέω,"I tread, trample upon"
ἄνεσις,"relief, remission, indulgence, freedom, rest"
ὑπολαμβάνω,"I take up, receive, answer, suppose, welcome"
Κύπρος,Cyprus
στοιχέω,I walk
ἔντιμος,"precious, honored, honorable"
μιαίνω,"I stain, pollute, defile"
ἀνέγκλητος,"irreproachable, blameless"
κονιορτός,dust
Βηθσαϊδά,Bethsaida
ἐπιτυγχάνω,"I attain, obtain, acquire"
ἄργυρος,silver as a metal
σκοτίζομαι,I darken
ὁποῖος,of what kind or manner
ὁρμάω,I rush
δεκατέσσαρες,fourteen
συγχέω,"I bewilder, stir up"
ἐξαλείφω,"I wipe away, obliterate"
ἡδονή,"pleasure, lust, strong desire"
παρακύπτω,"I stoop, peer in, look down"
Νικόδημος,Nicodemus
Παμφυλία,Pamphylia
πίναξ,"a plate, platter"
ἑβδομήκοντα,seventy
περίσσευμα,abundance
ἥμισυς,half
λατρεία,"service, worship"
χρῄζω,I need
παραβάτης,a transgressor
