καί,"and, even, also, namely"
ἔκκοψον,"I cut out, cut off"
λάβωσι(ν),"I receive, take"
ἐσθῆτα,"clothing, raiment"
μαρτυρούμενος,"I witness, testify"
ὁμοιωθήσεται,"I make like, liken, compare"
ψαλμοῖς,a psalm
βαπτισθείς,"I dip, submerge, baptize"
γέμουσι(ν),I am full of
σκιᾷ,"a shadow, thick darkness, an outline"
ἐτήρουν,"I keep, guard, observe"
συνελθεῖν,"I come or go with, accompany, assemble"
δεῖν,I bind
βαπτίζω,"I dip, submerge, baptize"
ἀνοίγει,I open
ἐβλασφήμησαν,"I speak evil against, blaspheme"
ἀναγινώσκων,I read
Ἑβραΐδι,"the Hebrew language, Aramaic"
προσετέθη,"I put to, add, do again"
μαρτυρεῖτε,"I witness, testify"
Θεσσαλονικέων,Thessalonian
τρίχας,a hair
αἰσχρόν,"base, disgraceful"
ἐσχάτη,"last, at the last, finally"
ληνόν,a winepress
ἀληθιναί,"true, real, genuine"
πώλησον,I sell
ὁδηγήσει,"I lead, guide"
τινῶν,"any one, some one"
πρώτους,"first, before"
ἐπέτυχε(ν),"I attain, obtain, acquire"
πλανήσουσι(ν),"I lead astray, deceive"
ἐπιτίμησον,"I rebuke, chide, admonish, warn"
ἀσθενῆ,"weak, infirm, sick"
ὀφειλέται,"a debtor, sinner"
ἀποδώσω,"I give back, return, sell"
Ἑνώχ,Enoch
κοινωνίας,"participation, communion, fellowship"
ἐδίωκον,"I pursue, persecute"
ἐπίγεια,earthly
συνίστησι(ν),"I commend, prove, am composed of, cohere"
ἀρχισυναγώγου,a leader of the synagogue
καυχᾶσθαι,"I boast, glory"
ζηλωτής,a zealot
ἀμίαντος,"undefiled, untainted"
πρόθυμον,"eager, ready, willing"
εὐαγγελιζόμενος,"I bring good news, preach good tidings"
μάρτυρα,a witness
ὑπόδειγμα,"a figure, copy, example"
βεβλημένον,"I cast, throw, rush, put, place, drop"
ἐξέπνευσε(ν),"I breathe my last, expire"
σημείων,"a sign, miracle, indication"
χρηστότητι,"goodness, benignity, kindness"
διαιρέσεις,"division, distribution, difference, distinction"
κόκκινον,crimson
ἀνέβην,"I go up, mount, ascend"
ὑπηρέτας,"a servant, an attendant"
δυναμένου,"I am powerful, am able"
ἐκλεκτοί,"chosen, elect, choice, select"
ὑπομείνας,"I remain behind, endure"
φυγεῖν,"I flee, escape, shun"
ἕτοιμος,"ready, prepared"
κατηντήσαμεν,"I come down, arrive at, reach"
ἐκήρυσσε(ν),"I proclaim, herald, preach"
φέρει,"I carry, bear, bring, lead"
ἑκατόνταρχος,a centurion
ἁμαρτάνετε,I sin
ἐγείραντος,"I wake, arouse, raise up"
ὠργίσθη,"I irritate, provoke, am angry"
γενέσεως,"birth, lineage"
φλογί,a flame
ἰσχυρά,"strong, mighty, powerful"
δικαιωθέντες,"I make righteous, defend the cause of, justify"
ἐξελθόντος,"I go out, come out"
ἐπιστολῆς,"a letter, dispatch, epistle"
ἑτοιμάσωμεν,"I make ready, prepare"
ἐξόν,"it is permitted, lawful, possible"
Ῥώμῃ,Rome
κατασκευάσει,"I build, prepare, make"
ἄλλων,"other, another, different"
νεφέλῃ,a cloud
φευγέτωσαν,"I flee, escape, shun"
ἐπιδεῖξαι,"I show, prove"
στρατηγοί,"a general, magistrate, captain of the temple"
ἔβρεξε(ν),"I moisten, rain, send rain"
πρεσβύτερος,elder
ἀνήγαγον,"I lead up, put to sea, set sail"
μῆκος,length
αἱρέσεις,"a self-chosen opinion, a sect"
λυπούμενος,"I pain, grieve, vex"
νενικήκατε,"I conquer, overcome"
μηδενός,"no one, nothing"
ἐπερωτῆσαι,"I interrogate, question, demand of"
κριθῆναι,"I judge, decide, think good"
τολμᾷ,"I dare, endure, am bold"
Κυρηναῖον,"belonging to Cyrene, a Cyrenaean"
ἐξέρχεται,"I go out, come out"
ὅμοια,"like, similar to"
δόξας,"honor, renown, glory splendor"
ὑποδείξω,"I show plainly, teach, warn"
οἰκοδομήσω,"I build, build up, edify"
ζημίαν,"damage, loss"
ἀρχιερεῖ,"high priest, chief priest"
περιεπάτησε(ν),"I walk, conduct my life"
βαστάζων,"I carry, carry away, bear"
πλέξαντες,"I weave together, plait"
ἐξεκλάσθησαν,I break off
ἐπουρανίων,"heavenly, celestial"
περιβεβλημένη,"I cast around, clothe"
ἀκοήν,"hearing, faculty of hearing, ear"
ζηλωταί,a zealot
εὐαγγελίζεται,"I bring good news, preach good tidings"
Ζοροβαβέλ,Zerubbabel
ἐποικοδομεῖ,I build upon a foundation
Δέρβην,Derbe
νεωτέρας,"young, new, fresh"
Φρυγίαν,Phrygia
περίκειται,"I surround, am surrounded with"
χρηστότης,"goodness, benignity, kindness"
χιλιάδων,a thousand
ποιήσαντι,"I do, make"
ἄνεμοι,the wind
ἐντολαῖς,"an ordinance, injunction, command"
κατέκρινε(ν),I condemn
ψῆφον,"a pebble, a vote"
ἐπιγνώσεσθε,"I come to know, discern, recognize"
θώρακας,a breast-plate
ἀληθινή,"true, real, genuine"
ἀδίκων,"unjust, unrighteous"
αὗται,"this, he, she, it"
δοκιμάζετε,"I put to the test, prove, examine"
ἐπιμεῖναι,"I remain, tarry, persist in"
βαπτίσει,"I dip, submerge, baptize"
ἆρα,"a particle asking a question, expecting a negative response"
ἴχνεσι(ν),"a track, footstep"
Ἀντιοχείας,Antioch
γενομένοις,"I come into being, am born"
Καϊάφας,Caiaphas
καλούς,"beautiful, good, worthy"
δεκαπέντε,fifteen
ποιῇ,"I do, make"
παραγγέλλω,"I notify, command, charge"
ὡμοιώθη,"I make like, liken, compare"
μεστόν,full
Δίδυμος,"the Twin, Didymus, Thomas"
δεξάμενος,"I take, receive, accept, welcome"
καλέσεις,"I call, invite, name"
παρθένος,a virgin
θηρίων,"a wild beast, animal"
κατέχετε,"I hold fast, bind, restrain"
δέξασθαι,"I take, receive, accept, welcome"
Κιλικίαν,Cilicia
μεταλαβεῖν,"I share in, partake of"
ποταμῷ,"a river, torrent"
σαλευθήσονται,"I shake, excite"
φονεύσῃς,I murder
ἀποδώσουσι(ν),"I give back, return, sell"
θεραπεύειν,"I care for, attend, serve, heal"
παρακύψας,"I stoop, peer in, look down"
μοιχαλίς,an adulteress
Στεφανᾶ,Stephanas
νόσοις,"a disease, malady"
σκανδαλίζῃ,I cause to stumble
στηρίξαι,"I fix firmly, strengthen"
Παμφυλίαν,Pamphylia
ἀμνός,a lamb
βλασφημίαι,"abusive or scurrilous language, blasphemy"
δοξασθῇ,"I glorify, honor, bestow glory on"
ἀναχθέντες,"I lead up, put to sea, set sail"
γεννηθῇ,"I beget, bring forth, give birth to"
ποιητής,"a doer, performer, poet"
μαρτύρομαι,"I call to witness, testify, solemnly charge"
ἐπιθῇ,"I put, place upon, lay on"
φυλακάς,"a watching, guard, prison, imprisonment"
ἐγείρας,"I wake, arouse, raise up"
ἀκαθαρσίᾳ,"uncleanness, impurity"
καθεύδει,"I sleep, am sleeping"
ἐπληθύνετο,"I increase, multiply"
ἀπόδος,"I give back, return, sell"
ἀστέρος,a star
Σαλαθιήλ,Salathiel
Βηθφαγή,Bethphage
παραστήσει,"I bring, present, come up to and stand by"
ὀργῇ,"anger, wrath, passion"
ἐσφράγισε(ν),I set a seal upon
ἠγαπημένην,I love
παραδῷ,"I hand over, deliver, betray"
ὑπεράνω,far above
πενθερά,a mother-in-law
καυχήσεως,"the act of boasting, exultation"
γνῶσις,"knowledge, doctrine, wisdom"
τραπέζας,a table for food or business
νεκρά,"dead, a corpse"
ἤνεγκαν,"I carry, bear, bring, lead"
ἁγιασθήτω,"I make holy, sanctify"
ἀπειθήσασι(ν),"I disobey, rebel, am disloyal"
κηρύξαι,"I proclaim, herald, preach"
τοιαύτη,"of such a kind, such"
Λύστραν,Lystra
συμφέρον,"I collect, am profitable to"
πυρετός,a fever
παραδοθήσεται,"I hand over, deliver, betray"
ἐφύλαξα,"I keep, guard, observe"
ἑκατονταπλασίονα,a hundredfold
ὀφείλεις,"I owe, ought"
εἰπόντες,"I say, speak"
πλούσιον,rich
καθαρᾷ,"clean, pure, unstained"
παράκλητος,"an advocate, comforter, helper, Paraclete"
ἀρέσκειν,"I please, serve"
μαθεῖν,"I learn, ascertain"
ἀπεκαλύφθη,"I uncover, bring to light, reveal"
δῆλον,"clear, manifest, evident"
καθαίρεσιν,"taking down, destroying"
σώσεις,"I save, heal"
πρωτότοκος,first-born
ἔγνωκε(ν),"I come to know, learn, realize"
συναναμίγνυσθαι,I keep company with
ἐπιζητεῖ,"I seek after, desire, search for"
προσαγωγήν,"approach, access"
εἰκόνος,"an image, likeness, bust"
σύνεσιν,understanding
παρουσίαν,"presence, a coming, arrival, advent"
καθαρίσθητι,I make clean
καθαρός,"clean, pure, unstained"
ἀγοράσωσι(ν),I buy
τέκνῳ,"a child, descendent, inhabitant"
εἰσπορευόμενον,"I journey into, go into"
πλοῦτον,"riches, wealth"
γυμνόν,"wearing only the under-garment, bare"
ἐξέλθῃ,"I go out, come out"
κατάρας,"a curse, cursing"
ὁμολογίαν,"a profession, confession"
λύτρωσιν,"liberation, deliverance, release"
διελθών,"I pass through, spread a report"
ἐρωτῶμεν,"I ask, question, request"
κακούς,"bad, evil"
νόσους,"a disease, malady"
ἐβουλόμην,"I will, intend, desire"
ἠνεῳγμένον,I open
ἄφθαρτον,"imperishable, incorruptible"
βροντῆς,thunder
ἀθανασίαν,immortality
ἔτυπτον,"I beat, strike, wound, inflict punishment"
κατήργηται,"I bring to naught, sever, abolish"
ἀκροβυστίαν,foreskin
κῆνσον,a poll-tax
στῆθος,the breast
μνημείων,"a tomb, sepulcher"
ἀπέλιπον,"I leave, leave behind, desert, am reserved"
παραδοῦναι,"I hand over, deliver, betray"
σκανδαλίζεται,I cause to stumble
ἄγαμος,unmarried
μεσουρανήματι,the middle of heaven
ὄφεις,a serpent
γαλήνη,a calm
πλανᾷ,"I lead astray, deceive"
χιλίαρχον,a military tribune
δόλος,"deceit, guile, treachery"
θυμός,"an outburst of passion, wrath"
ἀνακείμενος,"I recline, especially at a dinner-table"
ποταμοί,"a river, torrent"
παραγίνεται,"I appear, come, arrive at"
τηρεῖσθαι,"I keep, guard, observe"
μνημόνευε,"I remember, make mention of"
μέλλον,I am about to
ἔκτισε(ν),"I create, form, shape, make"
κατῴκησε(ν),"I dwell in, settle in, inhabit"
πληρῶσαι,"I fill, fulfill, complete"
εὐνοῦχοι,"a eunuch, keeper of the bed-chamber"
νήσῳ,an island
θλιβόμενοι,"I make narrow, persecute, press hard"
σωθήσῃ,"I save, heal"
καινῆς,"fresh, new"
βοσκομένη,I feed
ψυχαί,"the soul, life, self"
ἔλεγχε,"I rebuke, expose"
παραβολή,"a parable, comparison"
ἀκουσάντων,"I hear, listen"
ἄλλης,"other, another, different"
προσωπολημψία,"partiality, favoritism"
ἔκλαυσε(ν),"I weep, weep for, mourn"
γαμεῖν,I marry
ἁψάμενος,"I kindle, light"
ἦλθες,"I come, go"
ῥάβδος,"a rod, staff"
ἱερεῖ,a priest
γραφαί,"a writing, passage of scripture, the scriptures"
ἐμῷ,mine
ἀκούσουσι(ν),"I hear, listen"
λογίζεσθε,"I reckon, count, decide"
ἀνακρίνεται,"I examine, inquire into"
ἀποθανεῖσθε,"I am dying, am about to die"
τετρααρχοῦντος,I rule over as a tetrarch
παρατίθεμαι,"I set before, serve, entrust to"
ἐξέλθητε,"I go out, come out"
Ἰουδαίῳ,Jewish
καιρῶν,"fitting season, opportunity, time"
εὐσεβείᾳ,"piety, godliness"
δεσμά,bond
λιμοί,"a famine, hunger"
δυνάμεσι(ν),"might, power, marvelous works"
πιστεύσωμεν,"I believe, have faith in"
στῆθι,"I cause to stand, stand"
ἀνθρωποκτόνος,a murderer
οἰκοδομῆσαι,"I build, build up, edify"
ποιοῦντας,"I do, make"
γένη,"offspring, family, race, kind"
κρατήσατε,"I lay hold of, obtain"
Ναασσών,Nahshon
ἑωράκατε,"I see, look upon, experience"
ὥρμησε(ν),I rush
κλαίουσα,"I weep, weep for, mourn"
πτωχός,"poor, destitute"
ἄβυσσον,"the abyss, the unfathomable depth"
ἰαμάτων,"healing, curing"
σπυρίδας,a plaited basket
ᾔδεις,"I know, remember"
χωλόν,"lame, deprived of a foot"
ἠθέλησαν,"I will, wish, desire"
νυμφῶνος,a bridal chamber
ἐθεραπεύθη,"I care for, attend, serve, heal"
ἔμελλον,I am about to
μαλακίαν,"weakness, illness"
ἀσεβῶν,"impious, ungodly, wicked"
εὐλογεῖτε,I bless
ὑπάντησιν,a meeting
ἐσθιέτω,I eat
ποίας,of what sort
ἐταράχθη,"I agitate, stir up, trouble"
φθορᾶς,"corruption, destruction, decay"
θελόντων,"I will, wish, desire"
καλουμένη,"I call, invite, name"
φθαρτόν,"corruptible, perishable"
πατρίδα,fatherland
ἀδελφῆς,a sister
ἐργαζομένῳ,"I word, trade, do"
προσδοκῶν,"I expect, await"
λαλήσητε,"I speak, say"
ἔνδειξιν,"a showing, proof, demonstration, sign"
ἀνέξομαι,"I endure, bear with"
ἐκβάλω,"I throw, cast, put out, banish, bring forth, produce"
βασιλεύσουσι(ν),"I rule, reign, reign over"
θερμαινόμενος,I warm
Ἐφεσίων,Ephesian
ὄψῃ,"I see, look upon, experience"
ἄκανθαι,a thorn-bush
καυχᾶσαι,"I boast, glory"
οἰκονόμος,a steward
ἀγαθοῖς,good
αἰτοῦντι,"I ask, request, beg, petition"
ἐνδύσασθε,"I put on, clothe"
κατασείσας,"I shake, wave, beckon"
ἀσπασάμενοι,"I greet, salute, pay my respects to"
Ἡρῳδιάδος,Herodias
ἐκπορευόμενον,"I journey out, come forth"
ταχύ,"quick, swift"
πειρασμοῖς,"trial, testing, temptation"
πληγή,"a blow, stripe, wound"
ἐδιδάχθητε,I teach
συντελείᾳ,"a completion, consummation, end"
φόρον,"a tax, tribute"
μικροῦ,"little, small"
παρασκευή,the day before the Sabbath
ἄνομος,"lawless, sinful, illegal"
δευτέρα,"second, in the second place, for the second time"
στάσεως,"standing, place, dissension"
τρίτην,third
μαρτυρήσῃ,"I witness, testify"
τοὐναντίον,on the contrary
βίου,"life, manner of life, livelihood"
βασανισμοῦ,"torture, torment"
παράκλησις,"exhortation, entreaty, encouragement, comfort"
ἀγαθοποιοῦντας,I do that which is good
τελώνιον,a tax-collector's office
Ὦ,omega
ἀπεστάλην,"I send forth, send, send away, dismiss"
λαλουμένοις,"I speak, say"
προσηνέχθη,"I bring to, offer"
δρόμον,"a running, course, career"
ἐνεφάνισαν,"I make visible, report against, appear before"
καυχώμενοι,"I boast, glory"
ἄκαρπος,"unfruitful, barren"
ἔθαψαν,I bury
δέχωνται,"I take, receive, accept, welcome"
θεωροῦσι(ν),"I behold, look at, experience"
θυμόν,"an outburst of passion, wrath"
ὁδοῖς,"a way, road, journey"
ἀγρός,"a field, the country"
ἀσθενοῦντα,"I am weak, sick"
κατεγέλων,"I laugh at, ridicule"
κριθῆτε,"I judge, decide, think good"
ταπεινός,"humble, lowly"
ἀσπασάμενος,"I greet, salute, pay my respects to"
φυλήν,"a tribe, race"
κυρίων,"lord, Lord, master, sir"
μακράν,far away
δήσαντες,I bind
διδασκαλίαν,"instruction, teaching"
περισσεύει,"I exceed, am left over"
ὤφειλε(ν),"I owe, ought"
ῥομφαία,"a sword, piercing grief"
καταλάβῃ,"I seize tight hold of, overtake, comprehend"
νεανίσκος,a young man
τύπτοντες,"I beat, strike, wound, inflict punishment"
φέγγος,"brightness, light"
ἀποδῷ,"I give back, return, sell"
στρατιώταις,a soldier
πεπιστευκότων,"I believe, have faith in"
συλλαβεῖν,"I seize, apprehend, become pregnant"
μικρότερος,"little, small"
ὑπάρχει,"I am, exist, am in possession"
ὑπέταξε(ν),"I place under, subject to"
τέθνηκε(ν),"I am dying, am dead"
ἐγείρεσθε,"I wake, arouse, raise up"
Ἀβιά,Abijah
ἀφήσει,"I send away, release, remit, forgive, permit"
ἐλαχίστῳ,"least, smallest, very little"
λευκήν,"white, bright"
λοιπούς,"left, left behind, the remainder"
ἔλαμψε(ν),I shine
ὁράσει,"a sight, vision, appearance"
ἐδίωξαν,"I pursue, persecute"
κρημνοῦ,"a crag, precipice"
δέξαι,"I take, receive, accept, welcome"
σχεδόν,"nearly, almost"
γράμμασι(ν),"a letter, writings, learning"
εἴχετε,"I have, hold, possess"
πορφύραν,a purple garment
καταγγέλλεται,"I declare openly, preach"
ἡγούμενος,"I lead, think"
ἐξομολογούμενοι,"I consent fully, confess"
φονεῖς,a murderer
ἠγαπημένοι,I love
θελήσῃ,"I will, wish, desire"
τηρεῖ,"I keep, guard, observe"
ἤρχετο,"I come, go"
παράπτωμα,"a falling away, sin"
ἀνταποδοῦναι,I give in return
Τυχικός,Tychicus
γνώσονται,"I come to know, learn, realize"
ἰχθύν,a fish
φυλακαῖς,"a watching, guard, prison, imprisonment"
ὁράματι,"a spectacle, vision"
ἡτοίμασε(ν),"I make ready, prepare"
ἀποθήκην,"a repository, granary, barn, storehouse"
ἠθελήσατε,"I will, wish, desire"
γείτονας,a neighbor
θήσω,"I put, place"
ἐπισκοπῆς,"visitation of judgment, oversight"
εἰπόντα,"I say, speak"
λιμῷ,"a famine, hunger"
ἀγοράσωμεν,I buy
πλεονεξίας,"covetousness, avarice"
ἀπώσατο,"I push or thrust away, reject"
ἀρώματα,"spice, perfume"
ἀπεσταλμένος,"I send forth, send, send away, dismiss"
γενήματος,"offspring, child, fruit"
κατεκάη,"I burn up, consume entirely"
πραθῆναι,I sell
ἐσχάταις,"last, at the last, finally"
θυσίαις,a sacrifice
ζῶσι(ν),I live
ἀφρόνων,"senseless, foolish, inconsiderate"
προσευχόμενον,"I pray, pray for"
σκανδαλίσῃ,I cause to stumble
Ἕλληνος,"a Hellene, a Greek"
πονηροῖς,"evil, bad, wicked"
χείρονα,worse
γράμματος,"a letter, writings, learning"
ὅρκους,an oath
λυχνίας,a lamp-stand
ἀνακρίνοντες,"I examine, inquire into"
ἀνέτειλε(ν),"I make to rise, I rise, shine"
ἀπῆλθαν,"I come or go away from, depart, return"
εἰπόντος,"I say, speak"
ἀντιτάσσεται,"I set myself against, resist"
ἄμπελος,a vine
ἐνδύσασθαι,"I put on, clothe"
κριτήν,a judge
κληρονομήσει,"I inherit, obtain"
ἐμοί,mine
ἀποθνῄσκοντες,"I am dying, am about to die"
ἀπολέσας,"I destroy, lose, am perishing"
διακονῇ,"I wait at table, serve"
ἐγεννήθησαν,"I beget, bring forth, give birth to"
κατειργάσατο,"I work out, produce, accomplish"
κορασίῳ,"a girl, little girl"
παραθήκην,anything committed to one's charge
προσκυνεῖν,I worship
κατέπαυσε(ν),"I rest, cause to rest"
ὑστερεῖσθαι,"I am lacking, fall short, suffer need"
ζεστός,boiling hot
σκοτεινόν,"full of darkness, dark"
ζῴου,an animal
ἀτιμίαν,"disgrace, dishonor"
ἐρήμοις,"deserted, desolate, a desert"
ἕστηκα,"I cause to stand, stand"
ἐκαθαρίσθη,I make clean
μέρει,"a part, portion"
βασίλισσα,a queen
Ἀμώς,Amos
ἐπιστρέψωσι(ν),I turn back to
λαῶν,"a people, the crowd"
σφραγῖδας,"a signet-ring, impression of a seal, the proof"
εἰποῦσα,"I say, speak"
ζητήσεις,"a question, debate, controversy"
ὅσιος,"holy, pious"
σού,you
ἐδέξατο,"I take, receive, accept, welcome"
μνήμασι(ν),"a tomb, monument"
ἐγόγγυζον,"I whisper, murmur, grumble"
εἰσπορεύεται,"I journey into, go into"
ἀποδοκιμασθῆναι,"I reject after testing, I disqualify"
πιστεύσασι(ν),"I believe, have faith in"
οἷος,"of what kind, such as"
κόψονται,"I cut off, mourn"
γεγραμμένος,I write
γραφῆς,"a writing, passage of scripture, the scriptures"
ἔκρυψε(ν),"I hide, conceal, lay up"
πονηρίας,"wickedness, iniquities"
μείζονος,"large, great"
κρεῖσσον,"stronger, more excellent"
ἐπίσκοπον,"overseer, supervisor, ruler"
λῃστήν,"a robber, brigand, bandit"
ὁμολογίας,"a profession, confession"
σημαίνων,"I signify, indicate"
ἀναβαίνοντα,"I go up, mount, ascend"
ταπεινοφροσύνῃ,humility
ῥάβδον,"a rod, staff"
ταπεινοῖς,"humble, lowly"
ἐγίνετο,"I come into being, am born"
γραφῶν,"a writing, passage of scripture, the scriptures"
κατεργάζομαι,"I work out, produce, accomplish"
καθαρίσαι,I make clean
κατήντησε(ν),"I come down, arrive at, reach"
γνοῖ,"I come to know, learn, realize"
ἤρθη,"I raise, lift up"
γεννηθείς,"I beget, bring forth, give birth to"
πορευόμενος,"I travel, journey, go"
λέων,a lion
ὑπερεκπερισσοῦ,immeasurably
Ἰσκαριώτου,"Iscariot, a man of Kerioth"
εὐχαριστίᾳ,"thankfulness, gratitude"
ἐβόησε(ν),"I shout, call aloud"
ἐλευθέρα,"free, delivered from obligation"
ἐβαπτίσθημεν,"I dip, submerge, baptize"
σκέλη,the leg
μοιχεύσῃς,I commit adultery
περισσείαν,abundance
ἄρχοντας,"a ruler, prince, leader"
ἔσπειρας,"I sow, spread, scatter"
νηστεύσουσι(ν),I fast
πλανήσῃ,"I lead astray, deceive"
πάντοθεν,from all sides
κεκαλυμμένον,"I veil, hide, conceal, envelop"
ἕκτην,sixth
καταβαίνουσαν,"I go down, come down"
παραπτώμασι(ν),"a falling away, sin"
δραμών,"I run, exercise myself"
πράσσοντας,"I do, fare, require"
Βαλαάμ,Balaam
ἔγνως,"I come to know, learn, realize"
καλουμένην,"I call, invite, name"
κολλυβιστῶν,a money-changer
καθαρίζετε,I make clean
ἔπινον,"I drink, imbibe"
ποσάκις,how often
μαθητήν,"a learner, disciple, pupil"
Ἰσκαριώθ,Iscariot
θησαυρούς,"a treasure, store"
ἥμαρτε(ν),I sin
συνηγμένοι,I gather together
ἔμενε(ν),"I remain, abide"
εὐδοκία,"good-will, favor"
θνητόν,mortal
ἴσχυον,"I am strong, able"
οἷον,"of what kind, such as"
περιπατῶμεν,"I walk, conduct my life"
κρατοῦντας,"I lay hold of, obtain"
κατοικῆσαι,"I dwell in, settle in, inhabit"
λογιζέσθω,"I reckon, count, decide"
Τιβεριάδος,Tiberias
παρεστηκώς,"I bring, present, come up to and stand by"
ὅμως,"yet, nevertheless"
ἁγίας,"set apart, holy, sacred"
ἠθέλησα,"I will, wish, desire"
τυφλοῦ,blind
ἐπικαλουμένους,"I call by an additional name, appeal to"
βιβλαρίδιον,a little papyrus roll
προσφέρειν,"I bring to, offer"
σταυρωθῇ,I crucify
ἐλαίῳ,olive oil
ἐθεραπεύοντο,"I care for, attend, serve, heal"
μετοικεσίας,"change of abode, migration, deportation"
μένον,"I remain, abide"
παρεστῶσι(ν),"I bring, present, come up to and stand by"
πίνητε,"I drink, imbibe"
ἀποκαλύψεως,"an unveiling, uncovering, revealing"
πλέον,"much, many, often"
ἐπιγινώσκετε,"I come to know, discern, recognize"
παρέστησαν,"I bring, present, come up to and stand by"
καινά,"fresh, new"
διδάσκει,I teach
σῆς,"yours, thy, thine"
ἀριστερῶν,on the left hand
ἐπαινῶ,"I praise, commend"
βοῦν,an ox
ἀντίχριστος,antichrist
καλουμένῃ,"I call, invite, name"
ἰσχυρός,"strong, mighty, powerful"
πάρεστι(ν),"I am present, am near"
ἐγερεῖ,"I wake, arouse, raise up"
νεκρόν,"dead, a corpse"
φονεύσεις,I murder
ἐξελθόντα,"I go out, come out"
στάσιν,"standing, place, dissension"
εἴδωλα,"an idol, false god"
ὑετόν,rain
χόρτου,"grass, hay"
σπείρεις,"I sow, spread, scatter"
γενεάς,a generation
σταυρωθῆναι,I crucify
περιχώρου,neighboring
βάρβαρος,a foreigner who speaks neither Greek nor Latin
δόξασον,"I glorify, honor, bestow glory on"
ἀργαί,"idle, lazy, thoughtless"
διακοσίων,two hundred
ἐπιθέντες,"I put, place upon, lay on"
ἁγίαις,"set apart, holy, sacred"
πατάξας,I strike
ἕκτη,sixth
Μαθθαῖον,Matthew
Τίτος,Titus
Ἰκονίῳ,Iconium
ἀπολελυμένην,"I release, let go, send away, divorce"
ἀγαπητέ,"loved, beloved"
δηνάρια,a denarius
κολλᾶσθαι,"I glue, cleave, keep company with"
ἀντικείμενοι,"I resist, oppose"
νίψαι,I wash
γνῷ,"I come to know, learn, realize"
θύρᾳ,"a door, opportunity"
ἔμελλε(ν),I am about to
ἐπιζητοῦσι(ν),"I seek after, desire, search for"
ὕψος,"height, heaven"
Ἄλφα,the first letter of the Greek alphabet
ζήσει,I live
Ἀρτέμιδος,the Persian or Ephesian Artemis
Φαρές,Perez
μεταβάς,"I leave, depart, remove, pass over"
ὁμολογήσω,"I confess, profess, acknowledge, praise"
συνεργόν,a fellow worker
πιστεύει,"I believe, have faith in"
φθοράν,"corruption, destruction, decay"
ἀναστήσει,"I raise up, set up, rise from"
γέγονας,"I come into being, am born"
καλοῦ,"beautiful, good, worthy"
φαίνει,"I shine, appear, seem"
λευκά,"white, bright"
ἔκτεινον,"I stretch out, cast forth"
ἐπουράνια,"heavenly, celestial"
πεπληρωμένη,"I fill, fulfill, complete"
ἰάσομαι,I heal
παρεκτός,"besides, outside, without"
φεῦγε,"I flee, escape, shun"
λέγωσι(ν),"I say, speak"
ἔκρινα,"I judge, decide, think good"
Ἠσαῦ,Esau
πράγματι,"a thing done, a matter"
παραγγέλλομεν,"I notify, command, charge"
ποίει,"I do, make"
λέγῃ,"I say, speak"
πατράσι(ν),"father, Father, ancestor"
νηστείαις,"fasting, the day of atonement"
κόποις,"trouble, toil, labor"
ὀθόνια,a linen bandage
ἀφεθῇ,"I send away, release, remit, forgive, permit"
ἐδώκατε,"I offer, give"
πρωτοκλισίας,the chief place at a banquet
ὀσφύν,the loins
Φῆστον,Festus
διώκων,"I pursue, persecute"
ἥξω,"I have come, am present"
γόμον,"a cargo, freight"
ἠγάπησαν,I love
φίλων,"friendly, a friend"
ἐπιτάσσει,"I give order, command"
ἀπολείπεται,"I leave, leave behind, desert, am reserved"
Ἡρῴδῃ,Herod
αἰτοῦσι(ν),"I ask, request, beg, petition"
εἰδωλόθυτον,sacrificed to an image
κληρονομήσω,"I inherit, obtain"
προσδεχόμενοι,"I expect, welcome, accept"
περιπατεῖ,"I walk, conduct my life"
πρᾶγμα,"a thing done, a matter"
χῆραι,a widow
ἀκολουθοῦσι(ν),"I accompany, attend, follow"
ἐπεσκέψατο,"I look upon, visit, look out, select"
τοιούτοις,"of such a kind, such"
ὁσάκις,as often as
οἰκτιρμῶν,"pity, compassion"
κλῆμα,"a branch, shoot"
ἐξέδετο,"I give out, let, let out for my own advantage"
ἀκούομεν,"I hear, listen"
δόματα,a gift
τινί,"any one, some one"
πύργον,"a tower, fortified structure"
Ἀκύλας,Aquila
χαίρει,"I rejoice, am glad"
παρακαλεῖτε,"I summon, entreat, admonish, comfort"
πέμπτος,the fifth
βουλή,"counsel, deliberate wisdom"
ἄφεσις,"deliverance, pardon, complete forgiveness"
ἰατροῦ,a physician
ἐπάν,"after, when"
ὑποτάγητε,"I place under, subject to"
Ἀμιναδάβ,Amminadab
ἔκστασις,"bewilderment, amazement"
νόσον,"a disease, malady"
εὐηγγελίζετο,"I bring good news, preach good tidings"
λυθῆναι,"I loose, untie, release, destroy"
οἰκονόμον,a steward
διδόντι,"I offer, give"
αἴτιον,"the cause of, the originator of"
Ἡρῳδιανῶν,"the Herodians, the partisans of Herod Antipas"
εὐσχημόνως,"becomingly, decorously"
ἐπόρνευσαν,"I fornicate, practice idolatry"
χώρᾳ,"region, land, fields"
γόνυ,a knee
λάλει,"I speak, say"
δεήθητε,I bind
Σαμαρίτης,a Samaritan
ἱκανῶν,"sufficient, worthy, many, much"
σής,a moth
ζῳοποιεῖ,I make to live
σπερμάτων,"seed, offspring"
σώσω,"I save, heal"
ὑποστρέψαντες,"I turn back, return"
