καί,"and, even, also, namely"
ὑψίστου,"highest, most high, the heights"
ἔσῃ,"I am, exist"
κινδύνοις,"danger, peril, risk"
δουλεύειν,"I am a slave, am subject to, obey"
παρεκάλει,"I summon, entreat, admonish, comfort"
μαρτυρεῖ,"I witness, testify"
ποιήσωμεν,"I do, make"
ναῷ,"a temple, shrine"
Θωμᾶς,Thomas
βλασφημίας,"abusive or scurrilous language, blasphemy"
ἐλογίσθη,"I reckon, count, decide"
φρόνιμοι,"intelligent, prudent"
ἀκουσάτω,"I hear, listen"
ὕστερον,later
ἀπολέσῃ,"I destroy, lose, am perishing"
μαρτυρῶ,"I witness, testify"
φέρετε,"I carry, bear, bring, lead"
εὑρόντες,I find
δεῖπνον,"a dinner, an afternoon or evening meal"
λίμνην,a lake
λοιποῖς,"left, left behind, the remainder"
βουλόμενος,"I will, intend, desire"
σωτηρία,"deliverance, salvation"
ἐλεύθερος,"free, delivered from obligation"
πιστεύοντες,"I believe, have faith in"
εἴπω,"I say, speak"
ἐλήλυθα,"I come, go"
νύξ,"the night, night-time"
ὤμοσε(ν),"I swear, take an oath"
πιστεύεις,"I believe, have faith in"
συνειδήσεως,the conscience
περιπάτει,"I walk, conduct my life"
ἐπιστεύσατε,"I believe, have faith in"
λάβετε,"I receive, take"
Φῆστος,Festus
ἐθαύμαζον,"I wonder, admire"
διάκονοι,"a waiter, servant, administrator"
ἀνάστηθι,"I raise up, set up, rise from"
ἀπέσταλκε(ν),"I send forth, send, send away, dismiss"
γινώσκεις,"I come to know, learn, realize"
γεγραμμένα,I write
πεντήκοντα,fifty
καιροῦ,"fitting season, opportunity, time"
εὐκοπώτερον,easier
ἀγροῦ,"a field, the country"
Βεελζεβούλ,Beelzebul
βίβλῳ,"a written book, roll, or volume"
ἀπεκρίνατο,"I answer, reply"
ἀσθενεῖς,"weak, infirm, sick"
διαθήκη,"a covenant, will, testament"
Ἑβραϊστί,in the Hebrew or Aramaic dialect
Ἠλίαν,Elijah
γλῶσσα,"the tongue, a language, nation"
μικρῶν,"little, small"
δέσμιος,"one bound, a prisoner"
πορεύεται,"I travel, journey, go"
γινώσκω,"I come to know, learn, realize"
πορευόμενοι,"I travel, journey, go"
ὄρη,a mountain
Πιλᾶτον,Pilate
ζιζάνια,"spurious wheat, darnel"
γενομένου,"I come into being, am born"
ζῶμεν,I live
ἐκλήθητε,"I call, invite, name"
ἀγαπητόν,"loved, beloved"
ἀναστάσει,"a rising again, resurrection"
πιστεύσαντες,"I believe, have faith in"
ἔθηκαν,"I put, place"
ἀγρόν,"a field, the country"
βίον,"life, manner of life, livelihood"
Ἰεριχώ,Jericho
λεγούσης,"I say, speak"
ἀγαθῷ,good
βαπτίζων,"I dip, submerge, baptize"
μεγάλου,"large, great"
πάσαις,"all, the whole, every kind of"
ἔθνους,"a race, people, the Gentiles"
κληρονομίαν,an inheritance
Ἰσραηλῖται,an Israelite
παραδίδοται,"I hand over, deliver, betray"
παραδώσει,"I hand over, deliver, betray"
ζῶντι,I live
κεῖται,"I lie, recline, am laid"
γλῶσσαν,"the tongue, a language, nation"
ἐπιστάτα,"master, teacher"
τέλειον,"perfect, full-grown"
μείζονα,"large, great"
πορεύεσθε,"I travel, journey, go"
τελωνῶν,a collector of taxes
εὐσέβειαν,"piety, godliness"
ἐγενήθημεν,"I come into being, am born"
κοιλίας,"belly, womb, the inner man"
εὐλογημένος,I bless
χρόνος,"time, a particular time, season"
τίμα,"I value at a price, honor"
σάρκας,"flesh, body"
δέομαι,"I request, beg"
ἁμαρτίᾳ,a sin
κλασμάτων,a fragment
κάθου,"I sit, am seated"
ἐκλήθη,"I call, invite, name"
φιάλην,a shallow and flat bowl
προσηύξατο,"I pray, pray for"
συνεδρίῳ,"a council, the Sanhedrin"
Ἰουδαίαν,Judea
εἰπόν,"I say, speak"
ὅραμα,"a spectacle, vision"
ἑορτῇ,"a festival, feast"
ὀλίγοι,"small, brief, few, soon"
ἀπέστειλας,"I send forth, send, send away, dismiss"
πρόσωπα,"the face, countenance, surface"
γράφειν,I write
εὐλογητός,"worthy of praise, blessed"
ποιοῦντες,"I do, make"
μηδεμίαν,"no one, nothing"
μισεῖ,"I hate, detest"
τράχηλον,the neck
ἐχθρός,"hated, hostile, an enemy"
ἑκάστου,"each, every one"
κρίσει,"judging, divine judgment"
Δαμασκόν,Damascus
ἄγωμεν,I lead
ὄπισθεν,"from behind, after"
ἐπέπεσε(ν),"I fall upon, press upon"
σπέρματι,"seed, offspring"
ὅμοιοι,"like, similar to"
παραδώσουσι(ν),"I hand over, deliver, betray"
ἀρχή,"ruler, beginning"
πνευματικόν,spiritual
ἀλέκτωρ,"a cock, rooster"
οἴδασι(ν),"I know, remember"
ἐπιγνώσει,"knowledge, discernment, recognition"
ἐσάλπισε(ν),I sound a trumpet
ἐκτείνας,"I stretch out, cast forth"
δύναμαι,"I am powerful, am able"
Φιλίππου,Philip
ἀναβάς,"I go up, mount, ascend"
συμβούλιον,"a council, advice"
ἐνετείλατο,"I give orders, command"
ἀτενίσας,"I direct my gaze, look steadily"
γλώσσῃ,"the tongue, a language, nation"
ὑπακοήν,obedience
καθαρόν,"clean, pure, unstained"
πονηρούς,"evil, bad, wicked"
μεθερμηνευόμενον,"I translate, interpret"
εἱστήκει,"I cause to stand, stand"
πέμψον,I send
ἵππων,a horse
οἴνου,wine
ἐπείνασε(ν),"I am hungry, needy"
ἤκουον,"I hear, listen"
κοινωνία,"participation, communion, fellowship"
ἐκκλησιῶν,"an assembly, congregation, church"
ἅγια,"set apart, holy, sacred"
ἀνδράσι(ν),"a male human being, a man"
ἐκκλησίαι,"an assembly, congregation, church"
βλέπωσι(ν),"I look, see"
ἀποστέλλω,"I send forth, send, send away, dismiss"
ἑτοιμάσατε,"I make ready, prepare"
τρίτος,third
ἐπηρώτησαν,"I interrogate, question, demand of"
οὐρανοί,"the sky, the heaven"
ποικίλαις,"various, of different colors"
πάλαι,"of old, long ago"
στήκετε,"I stand fast, persevere"
ἐξέβαλον,"I throw, cast, put out, banish, bring forth, produce"
δούλοις,a male slave
Ἰωνᾶ,Jonah
ἐροῦμεν,"I say, speak"
ἀεί,always
ἰχθύας,a fish
δύνασαι,"I am powerful, am able"
πολλοῖς,"much, many, often"
ἑαυτήν,"himself, herself, itself"
πολλοῦ,"much, many, often"
ἐκπορεύεται,"I journey out, come forth"
ἀπόληται,"I destroy, lose, am perishing"
πρώτων,"first, before"
ἀπήγαγον,"I lead, carry, take away"
ὀδόντων,a tooth
ἔπαινον,"commendation, praise"
ἔφυγον,"I flee, escape, shun"
βρονταί,thunder
καλός,"beautiful, good, worthy"
τιμῆς,"a price, honor"
ἰδίῳ,"one's own, private, personal"
ἔσχατον,"last, at the last, finally"
καλά,"beautiful, good, worthy"
παράκλησιν,"exhortation, entreaty, encouragement, comfort"
παθημάτων,"suffering, passion"
ποιήσαντες,"I do, make"
ἀκουέτω,"I hear, listen"
ἀνέμου,the wind
κἀκεῖνοι,"and he, she, it, and that"
οὐράνιος,heavenly
Σιών,Zion
κρίνω,"I judge, decide, think good"
τέσσαρας,four
ἐλάβομεν,"I receive, take"
καθήμενοι,"I sit, am seated"
ὀφείλομεν,"I owe, ought"
ἀνδρῶν,"a male human being, a man"
προσώπῳ,"the face, countenance, surface"
ῥίζα,"a root, that which comes from the root"
γενηθήτω,"I come into being, am born"
τραπέζης,a table for food or business
κοινωνίαν,"participation, communion, fellowship"
ἀποδώσει,"I give back, return, sell"
εὐαγγελιζόμενοι,"I bring good news, preach good tidings"
χαίρειν,"I rejoice, am glad"
ἔθετο,"I put, place"
εἱστήκεισαν,"I cause to stand, stand"
ἠρώτων,"I ask, question, request"
θλῖψις,"persecution, affliction, distress"
γινέσθω,"I come into being, am born"
ἀφορμήν,"an occasion, opportunity"
ἀποστείλας,"I send forth, send, send away, dismiss"
κατοικεῖ,"I dwell in, settle in, inhabit"
πιστοί,"trustworthy, faithful, believing"
ποιῆτε,"I do, make"
Σίμωνι,Simon
τινων,"any one, some one"
ἀρχήν,"ruler, beginning"
καλούμενος,"I call, invite, name"
χάραγμα,"sculpture, a stamp, sign"
Συμεών,Simeon or Simon
τιμή,"a price, honor"
σέσωκε(ν),"I save, heal"
παρακλήσει,"exhortation, entreaty, encouragement, comfort"
μένων,"I remain, abide"
σῶσον,"I save, heal"
δοθεῖσαν,"I offer, give"
ἔθνει,"a race, people, the Gentiles"
ἐζήτει,"I seek, search for, desire"
ἀπολέσαι,"I destroy, lose, am perishing"
διδάσκεις,I teach
προσήνεγκαν,"I bring to, offer"
υἱοῖς,"a son, descendent"
ἤγγισε(ν),"I come near, approach"
ἐσταύρωσαν,I crucify
μέλει,"it is a care, it concerns"
ἐγερθήσεται,"I wake, arouse, raise up"
παρεμβολήν,"a camp, barracks, army in battle array"
ἀνοῖξαι,I open
τόπου,a place
θέλομεν,"I will, wish, desire"
θέλοντες,"I will, wish, desire"
ζῶντες,I live
εὐαγγελίσασθαι,"I bring good news, preach good tidings"
πέμψαντα,I send
μισθός,"wages, reward"
λέγουσαν,"I say, speak"
ἄρτων,"bread, a loaf, food"
Μακεδονίας,Macedonia
Μαρίας,"Mary, Miriam"
ἠκολούθησε(ν),"I accompany, attend, follow"
λαλοῦντες,"I speak, say"
τηρεῖν,"I keep, guard, observe"
κἀκεῖνος,"and he, she, it, and that"
γένος,"offspring, family, race, kind"
καταβαῖνον,"I go down, come down"
ἀληθινός,"true, real, genuine"
περιτομήν,circumcision
ὑποπόδιον,a footstool
κτίσις,"creation, creature, institution"
γενόμενα,"I come into being, am born"
πανταχοῦ,everywhere
ἰχθύων,a fish
λοιπῶν,"left, left behind, the remainder"
ἐνέργειαν,"working, activity"
Ἀσίας,roughly the western third of Asia Minor
ἀναστῆναι,"I raise up, set up, rise from"
πλανᾶσθε,"I lead astray, deceive"
τέκνων,"a child, descendent, inhabitant"
ψεῦδος,a lie
πόδες,the foot
εὐωνύμων,"on the left-hand side, left"
περιεπάτει,"I walk, conduct my life"
ἀδύνατον,"incapable, impossible"
ὀφθαλμοῖς,the eye
ἀμφότεροι,both of two
ἰδίων,"one's own, private, personal"
ἔστησε(ν),"I cause to stand, stand"
ποιμήν,a shepherd
προσκυνήσουσι(ν),I worship
ἐκλεκτούς,"chosen, elect, choice, select"
βρυγμός,a grinding or gnashing
ἀναβλέψας,"I look up, recover my sight"
ἐλεημοσύνην,"alms-giving, charity"
διακονίας,"waiting at table, service, ministration"
ἐγεννήθη,"I beget, bring forth, give birth to"
παραστῆσαι,"I bring, present, come up to and stand by"
θρόνον,"a throne, seat"
